GCA000008085	Archaea	Nanobdellota	Nanobdellia	Nanobdellales	Nanoarchaeaceae	Nanoarchaeum	Nanoarchaeum equitans
GCA000008885	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Enterobacteriaceae_A	Wigglesworthia	Wigglesworthia glossinidia_A
GCA000010565	Bacteria	Bacillota	Desulfotomaculia	Desulfotomaculales	Pelotomaculaceae	Pelotomaculum	Pelotomaculum thermopropionicum
GCA000012145	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia felis
GCA000014925	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Micrococcaceae	Arthrobacter	Arthrobacter aurescens_A
GCA000016765	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Rhizorhabdus	Rhizorhabdus wittichii
GCA000017645	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Xanthobacter	Xanthobacter autotrophicus
GCA000018565	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Herpetosiphonaceae	Herpetosiphon	Herpetosiphon aurantiacus
GCA000023185	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium leguminosarum_J
GCA000023405	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Dermabacteraceae	Brachybacterium	Brachybacterium faecium
GCA000023725	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Kaistella	Kaistella sp000023725
GCA000024525	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomataceae	Spirosoma	Spirosoma linguale
GCA000026125	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Herminiimonas	Herminiimonas arsenicoxydans
GCA000027065	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter turicensis
GCA000043285	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Enterobacteriaceae_A	Blochmanniella	Blochmanniella floridana
GCA000063505	Bacteria	Cyanobacteriota	Cyanobacteriia	PCC-6307	Cyanobiaceae	Synechococcus_C	Synechococcus_C sp000063505
GCA000063525	Bacteria	Cyanobacteriota	Cyanobacteriia	PCC-6307	Cyanobiaceae	RCC307	RCC307 sp000063525
GCA000069925	Bacteria	Bacillota	Bacilli	Acholeplasmatales	Acholeplasmataceae	Phytoplasma	Phytoplasma australiense
GCA000091165	Bacteria	Methylomirabilota	Methylomirabilia	Methylomirabilales	Methylomirabilaceae	Methylomirabilis	Methylomirabilis oxygeniifera
GCA000143165	Bacteria	Chloroflexota	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalogenimonas	Dehalogenimonas lykanthroporepellens
GCA000145985	Archaea	Thermoproteota	Thermoprotei_A	Sulfolobales	Ignisphaeraceae	Ignisphaera	Ignisphaera aggregans
GCA000146855	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Filifactoraceae	Peptoanaerobacter	Peptoanaerobacter margaretiae
GCA000147015	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Zinderia	Zinderia insecticola
GCA000152145	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Chloroflexaceae	Oscillochloris	Oscillochloris trichoides
GCA000153145	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Microbacteriaceae	Rhodoglobus	Rhodoglobus sp000153145
GCA000153385	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Nonlabens	Nonlabens sp000153385
GCA000153445	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	HTCC2207	HTCC2207 sp000153445
GCA000153745	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amylibacter	Amylibacter sp000153745
GCA000154345	Bacteria	Bacillota	Clostridia	Oscillospirales	Acutalibacteraceae	Clostridium_A	Clostridium_A leptum
GCA000155435	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster sp000155435
GCA000155695	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales	Opitutaceae	Pelagicoccus	Pelagicoccus sp000155695
GCA000155715	Bacteria	Pseudomonadota	Gammaproteobacteria	HTCC5015	HTCC5015	HTCC5015	HTCC5015 sp000155715
GCA000156115	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Planktotalea	Planktotalea sp000156115
GCA000156155	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Methylophilaceae	BACL14	BACL14 sp000156155
GCA000158135	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria	Ruegeria sp000158135
GCA000158155	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Congregibacter	Congregibacter sp000158155
GCA000158655	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Massilioclostridium	Massilioclostridium methylpentosum
GCA000161775	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria	Ruegeria lacuscaerulensis
GCA000161975	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Anaerovoracaceae	Eubacterium_N	Eubacterium_N saphenum
GCA000163555	Bacteria	Pseudomonadota	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	HIMB114	HIMB114 sp000163555
GCA000163695	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	F0058	F0058 sp000163695
GCA000163995	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter_D	Campylobacter_D jejuni_A
GCA000166095	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanothermaceae	Methanothermus	Methanothermus fervidus
GCA000168735	Bacteria	Pseudomonadota	Gammaproteobacteria	Chromatiales	Sedimenticolaceae	Endoriftia	Endoriftia persephone
GCA000168995	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Methylophilaceae	BACL14	BACL14 sp000168995
GCA000169075	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	DSM-21967	Oceanicoccus	Oceanicoccus sp000169075
GCA000169115	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Luminiphilus	Luminiphilus sp000169115
GCA000169355	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp000169355
GCA000169395	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	HTCC2150	HTCC2150 sp000169395
GCA000169995	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	Vibrio sp000169995
GCA000170815	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Patiriisocius	Patiriisocius sp000170815
GCA000171835	Bacteria	Pseudomonadota	Alphaproteobacteria	Thalassobaculales	Thalassobaculaceae	Thalassobaculum_A	Thalassobaculum_A sp000171835
GCA000171875	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Winogradskyella	Winogradskyella sp000171875
GCA000173115	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	MAG-120531	MAG-120531 sp000173115
GCA000173575	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia sp000173575
GCA000174895	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	Ruminococcus flavefaciens_A
GCA000175855	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Raphidiopsis	Raphidiopsis brookii
GCA000176735	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria	Neisseria polysaccharea
GCA000179315	Bacteria	Desulfobacterota	DSM-4660	Desulfatiglandales	Desulfatiglandaceae	NaphS2	NaphS2 sp000179315
GCA000182945	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium vincentii
GCA000183865	Bacteria	Bacillota	Bacilli	Lactobacillales	Listeriaceae	Listeria	Listeria marthii
GCA000195205	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Actimicrobium	Actimicrobium sp010365165
GCA000196815	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira_A	Nitrospira_A defluvii_A
GCA000198515	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Ketobacteraceae	HdN1	HdN1 sp000198515
GCA000200715	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Cenarchaeum	Cenarchaeum symbiosum
GCA000204585	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosarchaeum	Nitrosarchaeum limnae
GCA000205985	Bacteria	Pseudomonadota	Gammaproteobacteria	PS1	Pseudothioglobaceae	SUP05	SUP05 sp000205985
GCA000209465	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoanaerobaculum	Lachnoanaerobaculum sp000209465
GCA000209515	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Endobugula	Endobugula sp000209515
GCA000209815	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Pseudobutyrivibrio	Pseudobutyrivibrio fibrisolvens_A
GCA000212915	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides_E	Bacteroides_E coprosuis
GCA000213395	Bacteria	Pseudomonadota	Gammaproteobacteria	PS1	Pseudothioglobaceae	Pseudothioglobus	Pseudothioglobus sp000213395
GCA000217635	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Enterobacteriaceae_A	Buchnera_F	Buchnera_F aphidicola_G
GCA000218705	Bacteria	Cyanobacteriota	Cyanobacteriia	PCC-6307	Cyanobiaceae	Prochlorococcus_A	Prochlorococcus_A marinus_Q
GCA000218745	Bacteria	Cyanobacteriota	Cyanobacteriia	PCC-6307	Cyanobiaceae	Prochlorococcus_A	Prochlorococcus_A marinus_T
GCA000220355	Archaea	Nanohalarchaeota	Nanosalinia	Nanosalinales	Nanosalinaceae	Nanosalinarum	Nanosalinarum sp000220355
GCA000220375	Archaea	Nanohalarchaeota	Nanosalinia	Nanosalinales	Nanosalinaceae	Nanosalina	Nanosalina sp000220375
GCA000222785	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mitis_N
GCA000222855	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Succinivibrionaceae	WG-1	WG-1 sp000222855
GCA000223255	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus infantis_G
GCA000223315	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Parvimonas	Parvimonas sp000223315
GCA000223335	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus infantis_M
GCA000224475	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halolamina	Halolamina sp000224475
GCA000224765	Bacteria	SAR324	SAR324	SAR324	NAC60-12	JCVI-SCAAA005	JCVI-SCAAA005 sp000224765
GCA000226255	Bacteria	Desulfobacterota_I	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Cupidesulfovibrio	Cupidesulfovibrio sp000226255
GCA000227505	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Luminiphilus	Luminiphilus sp000227505
GCA000227525	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Litorivicinaceae	HIMB30	HIMB30 sp000227525
GCA000230935	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium rhodesiae_B
GCA000230955	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	Halobacterium sp000230955
GCA000233775	Bacteria	Synergistota	Synergistia	Synergistales	Thermovirgaceae	Thermovirga	Thermovirga lienii
GCA000234645	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori_CU
GCA000237975	Bacteria	Bacillota	Sulfobacillia	Sulfobacillales	Sulfobacillaceae	Sulfobacillus_A	Sulfobacillus_A acidophilus
GCA000238815	Bacteria	Pseudomonadota	Alphaproteobacteria	Puniceispirillales	Puniceispirillaceae	HIMB100	HIMB100 sp000238815
GCA000238975	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Enterobacteriaceae_A	Serratia_D	Serratia_D symbiotica_A
GCA000242815	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Janthinobacterium	Janthinobacterium lividum_D
GCA000242935	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales	Opitutaceae	Geminisphaera	Geminisphaera sp000242935
GCA000244995	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	AHLZ01	AHLZ01 sp000244995
GCA000245075	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Pseudoroseomonas	Pseudoroseomonas sp000245075
GCA000246735	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Poseidoniaceae	MGIIa-L1	MGIIa-L1 sp000246735
GCA000247545	Archaea	Thermoproteota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum oguniense
GCA000252485	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Prochloraceae	Prochloron	Prochloron didemni
GCA000252525	Bacteria	Pseudomonadota	Gammaproteobacteria	SAR86	D2472	SAR86A	SAR86A sp000252525
GCA000257905	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mitis_L
GCA000263275	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter_E	Helicobacter_E bizzozeronii
GCA000263395	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Stutzerimonas	Stutzerimonas stutzeri_C
GCA000270325	Archaea	Thermoproteota	Nitrososphaeria_A	Caldarchaeales	Caldarchaeaceae	Caldarchaeum	Caldarchaeum subterraneum_A
GCA000272025	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	AKCV01	AKCV01 sp000272025
GCA000272405	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	Vibrio tasmaniensis_A
GCA000276965	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Thiovulaceae	Thiovulum_A	Thiovulum_A sp000276965
GCA000283575	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	Oscillibacter valericigenes
GCA000283635	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus macedonicus
GCA000291825	Bacteria	Cyanobacteriota	Cyanobacteriia	PCC-6307	Cyanobiaceae	Prochlorococcus_A	Prochlorococcus_A sp000291825
GCA000293845	Bacteria	Pseudomonadota	Alphaproteobacteria	RS24	RS24	Micropelagos	Micropelagos sp000293845
GCA000296795	Bacteria	Planctomycetota	Brocadiia	Brocadiales	Brocadiaceae	Jettenia	Jettenia caeni
GCA000299095	Bacteria	Pseudomonadota	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Pelagibacter	Pelagibacter sp000299095
GCA000299115	Bacteria	Pseudomonadota	Alphaproteobacteria	HIMB59	HIMB59	HIMB59	HIMB59 sp000299115
GCA000302695	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Tenebrionibacter	Tenebrionibacter sp000302695
GCA000306725	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanolobus	Methanolobus psychrophilus
GCA000307225	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus vaginalis_B
GCA000307305	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	B14	B14 sp000307305
GCA000307935	Bacteria	Pseudomonadota	Gammaproteobacteria	SAR86	D2472	D2472	D2472 sp000307935
GCA000307955	Bacteria	Desulfobacterota_I	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Solidesulfovibrio	Solidesulfovibrio magneticus_A
GCA000308255	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus pacaensis
GCA000309075	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Occidentia	Occidentia massiliensis
GCA000309865	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium sp000309865
GCA000309945	Bacteria	Cyanobacteriota	Cyanobacteriia	Leptolyngbyales	Leptolyngbyaceae	JSC-12	JSC-12 sp000309945
GCA000316115	Bacteria	Cyanobacteriota	Cyanobacteriia	Phormidesmidales	Phormidesmidaceae	Leptothoe	Leptothoe sp000316115
GCA000317245	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Pelatocladus	Pelatocladus muscicola_A
GCA000317655	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Cyanobacteriaceae	Cyanobacterium	Cyanobacterium stanieri
GCA000318405	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas diminuta_B
GCA000331305	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Dulcicalothrix	Dulcicalothrix sp000331305
GCA000331975	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales_B	Blattabacteriaceae	Uzinura	Uzinura diaspidicola
GCA000332255	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Chlorogloeopsis	Chlorogloeopsis sp000332255
GCA000333235	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Pseudoalteromonas	Pseudoalteromonas luteoviolacea_D
GCA000333335	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas_N	Sphingomonas_N sp000333335
GCA000333435	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Microbacteriaceae	Herbiconiux	Herbiconiux sp000333435
GCA000333815	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Enorma	Enorma sp000333815
GCA000335715	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Chromobacteriaceae	Vogesella	Vogesella sp000335715
GCA000335735	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp000335735
GCA000337115	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natrinema	Natrinema thermotolerans
GCA000340945	Bacteria	Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Nocardiopsis	Nocardiopsis synnemataformans
GCA000341795	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Rhodococcus_G	Rhodococcus_G triatomae_A
GCA000342265	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter	Polynucleobacter sp000342265
GCA000344275	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus oralis_E
GCA000347575	Bacteria	Atribacterota	Atribacteria	Atribacterales	Caldatribacteriaceae	Caldatribacterium	Caldatribacterium saccharofermentans
GCA000350305	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomethylophilaceae	Methanomethylophilus	Methanomethylophilus sp000350305
GCA000353875	Bacteria	Atribacterota	Atribacteria	Atribacterales	Caldatribacteriaceae	Caldatribacterium	Caldatribacterium californiense
GCA000364225	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_J	Eubacterium_J plexicaudatum
GCA000371745	Bacteria	Pseudomonadota	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Fonsibacter	Fonsibacter sp000371745
GCA000371845	Bacteria	Pseudomonadota	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Fonsibacter	Fonsibacter sp000371845
GCA000372185	Bacteria	Actinomycetota	Actinomycetes	Nanopelagicales	Nanopelagicaceae	Planktophila	Planktophila sp000372185
GCA000372225	Bacteria	Nitrospinota	Nitrospinia	Nitrospinales	VA-1	Nitromaritima	Nitromaritima sp000372225
GCA000372785	Bacteria	Pseudomonadota	Gammaproteobacteria	PS1	Pseudothioglobaceae	Pseudothioglobus	Pseudothioglobus sp000372785
GCA000375685	Archaea	Thermoproteota	Thermoprotei	Gearchaeales	Gearchaeaceae	AAA261-N23	AAA261-N23 sp000375685
GCA000378025	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Ancylobacter	Ancylobacter sp000378025
GCA000378865	Bacteria	Actinomycetota	Actinomycetes	Nanopelagicales	Nanopelagicaceae	Nanopelagicus	Nanopelagicus sp000378865
GCA000378885	Bacteria	Actinomycetota	Actinomycetes	Nanopelagicales	Nanopelagicaceae	Planktophila	Planktophila sp000378885
GCA000378905	Bacteria	Actinomycetota	Actinomycetes	Nanopelagicales	Nanopelagicaceae	Nanopelagicus	Nanopelagicus sp000378905
GCA000380225	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Spirulinaceae	Jaaginema	Jaaginema sp000380225
GCA000380705	Archaea	Thermoproteota	Thermoprotei	Gearchaeales	Gearchaeaceae	SCGC-AAA471-B05	SCGC-AAA471-B05 sp000380705
GCA000381565	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Duganella	Duganella sp000381565
GCA000381585	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	KBS-83	KBS-83 sp000381585
GCA000381605	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Edaphobacter	Edaphobacter sp000381605
GCA000381625	Bacteria	Acidobacteriota	Terriglobia	Bryobacterales	Bryobacteraceae	KBS-96	KBS-96 sp000381625
GCA000383115	Bacteria	Pseudomonadota	Alphaproteobacteria	Puniceispirillales	Marisalimonadaceae	Marisalimonas	Marisalimonas sp000383115
GCA000383355	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Asprobacillus	Asprobacillus sp000383355
GCA000383715	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Limisphaerales	AAA164-E04	AAA164-E04	AAA164-E04 sp000383715
GCA000383815	Bacteria	Actinomycetota	Actinomycetes	Nanopelagicales	Nanopelagicaceae	Nanopelagicus	Nanopelagicus sp000383815
GCA000384615	Bacteria	Pseudomonadota	Alphaproteobacteria	Puniceispirillales	Marisalimonadaceae	Marisalimonas	Marisalimonas sp000384615
GCA000384935	Bacteria	Pseudomonadota	Gammaproteobacteria	SAR86	D2472	SCGC-AAA076-P13	SCGC-AAA076-P13 sp000384935
GCA000385055	Bacteria	Pseudomonadota	Gammaproteobacteria	SAR86	D2472	SCGC-AAA076-P13	SCGC-AAA076-P13 sp000385055
GCA000385835	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mitis_AI
GCA000387965	Archaea	Nanobdellota	Nanobdellia	Nanobdellales	Nanobdellaceae	Nanobdella	Nanobdella stetteri
GCA000389735	Archaea	Thermoproteota	Thermoprotei_A	Sulfolobales	Sulfolobaceae	Acd1	Acd1 sp000389735
GCA000398025	Bacteria	Patescibacteriota	Minisyncoccia	Minisyncoccales	Paceibacteraceae	Paceibacter	Paceibacter normanii
GCA000402075	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosopelagicus	Nitrosopelagicus sp000402075
GCA000402295	Bacteria	Aerophobota	Aerophobia	Aerophobales	Aerophobaceae	Aerophobus	Aerophobus profundus
GCA000402355	Archaea	Iainarchaeota	Iainarchaeia	Iainarchaeales	Iainarchaeaceae	Iainarchaeum	Iainarchaeum andersonii
GCA000402515	Archaea	Nanobdellota	Nanobdellia	SCGC-AAA011-G17	SCGC-AAA011-G17	SCGC-AAA011-G17	SCGC-AAA011-G17 sp000402515
GCA000402655	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	Marinisomataceae	Marinisoma	Marinisoma sp000402655
GCA000402755	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	Marinisomataceae	Marinisoma	Marinisoma sp000402755
GCA000402775	Archaea	Altiarchaeota	Altiarchaeia	IMC4	SCGC-AAA252-I15	SCGC-AAA252-I15	SCGC-AAA252-I15 sp000402775
GCA000402815	Bacteria	Marinisomatota	Marinisomatia	Marinisomatales	Marinisomataceae	Marinisoma	Marinisoma atlanticum
GCA000403035	Bacteria	Latescibacterota	Latescibacteria	Latescibacterales	Latescibacteraceae	Latescibacter	Latescibacter anaerobius
GCA000403215	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	COE1	COE1 sp000403215
GCA000403255	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Petralouisia	Petralouisia sp000403255
GCA000403275	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Kineothrix	Kineothrix sp000403275
GCA000403295	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Schaedlerella	Schaedlerella sp000403295
GCA000403335	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	COE1	COE1 sp000403335
GCA000403415	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Dubosiella	Dubosiella sp000403415
GCA000403455	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Sporofaciens	Sporofaciens sp000403455
GCA000403475	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	MD308	MD308 sp000403475
GCA000403495	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Suilimivivens	Suilimivivens sp000403495
GCA000403945	Bacteria	Desulfobacterota_I	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio sp000403945
GCA000404785	Bacteria	Cloacimonadota	Cloacimonadia	JGIOTU-2	JGIOTU-2	Celaenobacter	Celaenobacter polaris
GCA000405225	Archaea	Nanobdellota	Nanobdellia	Pacearchaeales	GW2011-AR1	ASMP01	ASMP01 sp000405225
GCA000405245	Archaea	Aenigmatarchaeota	Aenigmatarchaeia	Aenigmatarchaeales	Aenigmatarchaeaceae	Aenigmatarchaeum	Aenigmatarchaeum subterraneum
GCA000405605	Bacteria	Atribacterota	JS1	SB-45	34-128	34-128	34-128 sp000405605
GCA000405685	Archaea	Thermoproteota	Nitrososphaeria_A	Caldarchaeales	Wolframiiraptoraceae	Geocrenenecus	Geocrenenecus sp000405685
GCA000405805	Bacteria	Marinisomatota	Marinisomatia	SCGC-AAA003-L08	SCGC-AAA003-L08	SCGC-AAA003-L08	SCGC-AAA003-L08 sp000405805
